trial,start_time,rt,correct,version,activation,fact_id,question,answer,0,0,alpha
1,46756.14160002442,6192.795599985402,False,without,0.0,81,saw,msemeno,without,0.0,0.3
2,54065.155200019944,inf,True,without,0.5,98,guitar,gitaa,without,0.5,0.3
3,66925.29130002367,1048.0113999801688,True,without,0.5,98,guitar,gitaa,without,0.5,0.3
4,69638.56220000889,620.3406999993604,True,without,0.7310585786300049,69,shirt,shati,without,0.7310585786300049,0.3
5,71826.60130001022,563.3128999907058,False,without,0.7310585786300049,69,shirt,shati,without,0.7310585786300049,0.3
6,73865.61210002401,1489.096299977973,False,without,0.5,81,saw,msemeno,without,0.5,0.3
7,77955.98560001235,1402.1538000088185,True,without,0.7310585786300049,17,sea,bahari,without,0.7310585786300049,0.3
8,83680.3853000165,1142.621400009375,True,without,0.7310585786300049,17,sea,bahari,without,0.7310585786300049,0.3
9,87219.49380001752,1157.8818999987561,True,without,0.5,67,bread,mkate,without,0.5,0.3
10,90066.3910000003,1106.9690000149421,True,without,0.5,12,foot,mguu,without,0.5,0.3
11,93067.28010001825,1188.6696000001393,True,without,0.5,37,train,treni,without,0.5,0.3
12,97478.20810001576,1789.7323000070173,False,without,0.5,67,bread,mkate,without,0.5,0.3
13,101009.83370002359,1205.921099986881,True,without,0.2689414213699951,50,magnet,sumaku,without,0.2689414213699951,0.3
14,104796.37070000172,1129.4726000051014,True,without,0.2689414213699951,12,foot,mguu,without,0.2689414213699951,0.3
15,107842.83780000987,1216.4303000026848,True,without,0.11920292202211755,37,train,treni,without,0.11920292202211755,0.3
16,111300.18710001605,974.2665000085253,True,without,0.04742587317756678,85,flute,filimbi,without,0.04742587317756678,0.3
17,115126.3741000148,863.6722000082955,True,without,0.04742587317756678,72,glove,glavu,without,0.04742587317756678,0.3
18,118966.03140002117,1587.7702999860048,False,without,0.04742587317756678,85,flute,filimbi,without,0.04742587317756678,0.3
19,121652.2351000167,1784.6113999839872,False,without,0.11920292202211755,50,magnet,sumaku,without,0.11920292202211755,0.3
20,125511.9674000016,1015.9232000005431,True,without,0.04742587317756678,72,glove,glavu,without,0.04742587317756678,0.3
21,128509.86590000684,1214.4163000048138,True,without,0.01798620996209156,81,saw,msemeno,without,0.01798620996209156,0.294921875
22,132193.018400023,1700.9507000038866,False,without,0.0066928509242848554,17,sea,bahari,without,0.0066928509242848554,0.349609375
23,135068.20690000313,1675.3632000181824,True,without,0.01798620996209156,20,snow,theluji,without,0.01798620996209156,0.3
24,139552.81540000578,inf,True,without,0.01798620996209156,102,painting,uchoraji,without,0.01798620996209156,0.3
25,148118.41890000505,2124.137900013011,False,without,0.01798620996209156,20,snow,theluji,without,0.01798620996209156,0.3
26,151414.064600016,1729.7966000041924,True,without,0.04742587317756678,102,painting,uchoraji,without,0.04742587317756678,0.3
27,155781.7084999988,1101.9285000220407,True,without,0.01798620996209156,12,foot,mguu,without,0.01798620996209156,0.250390625
28,158929.63130000862,1127.6395000168122,True,without,0.0066928509242848554,37,train,treni,without,0.0066928509242848554,0.250390625
29,162608.02360001253,1214.8755000089295,True,without,0.0024726231566347743,55,zebra,punda milia,without,0.0024726231566347743,0.3
30,166734.6627000079,1578.1938000000082,False,without,0.0024726231566347743,85,flute,filimbi,without,0.0024726231566347743,0.349609375
