trial,start_time,rt,correct,version,activation,fact_id,question,answer,0,0,alpha
74,410783.1351000059,2289.5304999838118,False,without,0.11920292202211755,86,drum,ngoma,without,0.11920292202211755,0.4566406249999999
75,415385.5220999976,1054.2932999960613,False,without,0.2689414213699951,95,gift,zawadi,without,0.2689414213699951,0.34296874999999993
76,417575.92730000033,3728.9832000096794,False,without,0.5,102,painting,uchoraji,without,0.5,0.3
77,422445.4076999973,inf,False,without,0.5,87,trumpet,tarumbeta,without,0.5,0.3335937499999999
78,435703.15539999865,2523.8898000097834,False,without,0.7310585786300049,38,window,dirisha,without,0.7310585786300049,0.5359375000000001
79,439282.7305000101,2234.1526999953203,False,without,0.5,28,book,kitabu,without,0.5,0.44257812499999993
80,443852.0957000146,2015.9749999875203,False,without,0.2689414213699951,102,painting,uchoraji,without,0.2689414213699951,0.3
81,447915.8679000102,2898.0269999883603,False,without,0.5,86,drum,ngoma,without,0.5,0.4687499999999999
82,452809.73979999544,1797.611500020139,False,without,0.7310585786300049,21,fire,moto,without,0.7310585786300049,0.4062499999999999
83,456774.353100016,2074.051999981748,False,without,0.8807970779778823,77,rake,reki,without,0.8807970779778823,0.4566406249999999
84,459904.9479000096,4841.1390999972355,False,without,0.7310585786300049,20,snow,theluji,without,0.7310585786300049,0.42460937499999996
85,465802.86699999124,2329.004300001543,False,without,0.5,71,shoe,kiatu,without,0.5,0.34218749999999987
86,470345.9559000039,2409.6368000027724,False,without,0.7310585786300049,38,window,dirisha,without,0.7310585786300049,0.5464843750000001
87,477029.709800001,1297.7424999990035,False,without,0.5,32,plane,ndege,without,0.5,0.435546875
88,479382.5672999956,876.529400004074,True,without,0.2689414213699951,59,tea,chai,without,0.2689414213699951,0.30000000000000004
89,482669.9706999934,2147.9239000182133,False,without,0.5,52,giraffe,twiga,without,0.5,0.46171874999999996
90,485873.98540001595,2261.72989999759,True,without,0.2689414213699951,46,dollar,dola,without,0.2689414213699951,0.22499999999999998
91,491772.63870000024,3081.949400017038,False,without,0.11920292202211755,86,drum,ngoma,without,0.11920292202211755,0.49335937499999993
92,496930.10960001266,1325.3351000021212,False,without,0.2689414213699951,102,painting,uchoraji,without,0.2689414213699951,0.349609375
93,499378.75850001,1686.2910999916494,False,without,0.5,16,moon,mwezi,without,0.5,0.41523437499999993
94,503483.32470000605,2786.578900006134,False,without,0.2689414213699951,38,window,dirisha,without,0.2689414213699951,0.5570312500000001
95,509155.8037000068,2510.8656999946106,False,without,0.11920292202211755,95,gift,zawadi,without,0.11920292202211755,0.371484375
96,512805.3662000166,2565.274699998554,False,without,0.2689414213699951,28,book,kitabu,without,0.2689414213699951,0.4492187499999999
97,518313.81550000515,1841.2251000117976,True,without,0.11920292202211755,21,fire,moto,without,0.11920292202211755,0.3941406249999999
98,522403.4862999979,4485.916600009659,False,without,0.04742587317756678,86,drum,ngoma,without,0.04742587317756678,0.5187499999999999
99,528036.2797999987,2120.5460999917705,True,without,0.11920292202211755,67,bread,mkate,without,0.11920292202211755,0.3
100,532608.1046999898,1982.4270000099204,False,without,0.11920292202211755,87,trumpet,tarumbeta,without,0.11920292202211755,0.3730468749999999
101,540753.7011000095,1469.0700999926776,False,without,0.2689414213699951,67,bread,mkate,without,0.2689414213699951,0.3
102,544204.4430999958,1476.060899993172,False,without,0.5,52,giraffe,twiga,without,0.5,0.46367187499999996
103,546736.1157000123,2320.3749999811407,False,without,0.2689414213699951,86,drum,ngoma,without,0.2689414213699951,0.5566406249999999
104,550204.2684000044,1985.2529999916442,False,without,0.5,102,painting,uchoraji,without,0.5,0.39921874999999996
105,553316.1317000049,6604.938200005563,False,without,0.7310585786300049,38,window,dirisha,without,0.7310585786300049,0.5816406250000001
106,561807.1332999971,910.3138000064064,True,without,0.5,86,drum,ngoma,without,0.5,0.5562499999999999
107,565270.144900016,2248.53609999991,False,without,0.2689414213699951,71,shoe,kiatu,without,0.2689414213699951,0.34257812499999984
108,570322.5543000153,inf,True,without,0.5,13,eye,jicho,without,0.5,0.3
