trial,start_time,rt,correct,version,activation,fact_id,question,answer,0,0,alpha
1,7243.992000003345,4906.099499989068,True,with,0.0,78,scissors,mkasi,with,0.0,0.3
2,17747.792599984678,1592.4245000060182,True,with,0.5,78,scissors,mkasi,with,0.5,0.3
3,22210.05779999541,3911.72760000336,True,without,0.7310585786300049,20,snow,theluji,without,0.7310585786300049,0.3
4,30494.46319998242,2153.2814000092912,False,without,0.7310585786300049,20,snow,theluji,without,0.7310585786300049,0.3
5,37031.383699999424,2859.0018000104465,True,with,0.8807970779778823,100,motorcycle,pikipiki,with,0.8807970779778823,0.3
6,44042.66109998571,2577.6253000076395,True,without,0.8807970779778823,63,kettle,birika,without,0.8807970779778823,0.3
7,53805.194199987454,1274.2682000098284,True,with,0.8807970779778823,100,motorcycle,pikipiki,with,0.8807970779778823,0.3
8,58541.46879998734,3428.372099995613,False,without,0.9525741268224334,63,kettle,birika,without,0.9525741268224334,0.3
9,64633.565299998736,1890.26250000461,True,with,0.9820137900379085,52,giraffe,twiga,with,0.9820137900379085,0.3
10,69960.78719999059,2799.186300020665,False,with,0.9820137900379085,78,scissors,mkasi,with,0.9820137900379085,0.349609375
11,75114.00959998718,1748.1814000057057,False,with,0.9525741268224334,52,giraffe,twiga,with,0.9525741268224334,0.3
12,80645.94809999107,1391.3655999931507,False,with,0.8807970779778823,32,plane,ndege,with,0.8807970779778823,0.3
13,87191.35879998794,3890.197000000626,False,without,0.8807970779778823,20,snow,theluji,without,0.8807970779778823,0.349609375
14,92329.58890000009,3537.1604000101797,False,with,0.9525741268224334,32,plane,ndege,with,0.9525741268224334,0.3
15,96940.31750000431,1968.6545000004116,True,with,0.8807970779778823,59,tea,chai,with,0.8807970779778823,0.3
16,101179.1741999914,2762.2351000027265,True,with,0.8807970779778823,70,skirt,sketi,with,0.8807970779778823,0.3
17,106387.52309998381,2935.8555000217166,False,with,0.8807970779778823,59,tea,chai,with,0.8807970779778823,0.3
18,112372.3195999919,1382.9158000007737,True,with,0.7310585786300049,70,skirt,sketi,with,0.7310585786300049,0.3
19,115981.61200000322,inf,False,with,0.8807970779778823,100,motorcycle,pikipiki,with,0.8807970779778823,0.349609375
20,124433.57190000825,18922.895499999868,False,with,0.7310585786300049,78,scissors,mkasi,with,0.7310585786300049,0.39921874999999996
21,146476.46609999356,1696.1526999948546,False,without,0.5,63,kettle,birika,without,0.5,0.349609375
22,150272.34599998337,4304.64130002656,False,with,0.7310585786300049,52,giraffe,twiga,with,0.7310585786300049,0.349609375
23,156724.9237000069,2161.3087999867275,False,without,0.5,20,snow,theluji,without,0.5,0.39921874999999996
24,162428.30030000187,3315.094899997348,False,with,0.7310585786300049,32,plane,ndege,with,0.7310585786300049,0.349609375
25,166812.5457999995,17.735800007358193,False,with,0.5,78,scissors,mkasi,with,0.5,0.4488281249999999
26,167903.69680000003,2954.252900002757,False,with,0.2689414213699951,59,tea,chai,with,0.2689414213699951,0.349609375
27,174417.07239998505,1822.6946000067983,True,without,0.11920292202211755,71,shoe,kiatu,without,0.11920292202211755,0.3
28,183530.19059999497,4878.450299991528,False,with,0.11920292202211755,100,motorcycle,pikipiki,with,0.11920292202211755,0.39921874999999996
29,197086.14080000552,6530.50130000338,False,without,0.04742587317756678,71,shoe,kiatu,without,0.04742587317756678,0.3
