trial,start_time,rt,correct,version,activation,fact_id,question,answer,0,0,alpha
1,32429.153500008397,8875.013099983335,True,with,0.0,2,woman,mwanamke,with,0.0,0.3
2,49830.06109998678,2175.3813000104856,True,without,0.5,101,monkey,tumbili,without,0.5,0.3
3,56091.87380000367,1537.3099999851547,False,with,0.5,2,woman,mwanamke,with,0.5,0.3
4,62098.07639999781,2018.994299985934,True,with,0.2689414213699951,91,chicken,kuku,with,0.2689414213699951,0.3
5,66822.17379999929,4364.6327999886125,False,without,0.2689414213699951,101,monkey,tumbili,without,0.2689414213699951,0.3
6,78973.63799999584,874.317699985113,True,with,0.5,91,chicken,kuku,with,0.5,0.3
7,82252.21559999045,1593.247100012377,True,without,0.7310585786300049,56,calendar,kalenda,without,0.7310585786300049,0.3
8,89611.31429998204,1052.701300010085,True,without,0.7310585786300049,56,calendar,kalenda,without,0.7310585786300049,0.3
9,93396.69799999683,1027.6528999966104,True,with,0.5,30,ship,meli,with,0.5,0.3
10,96235.03300000448,1154.4870999932755,True,with,0.5,24,house,nyumba,with,0.5,0.3
11,107379.50929999352,1047.448400000576,True,with,0.5,30,ship,meli,with,0.5,0.3
12,110370.10919998283,1102.175600011833,True,without,0.7310585786300049,66,fork,uma,without,0.7310585786300049,0.3
13,113481.90099999192,inf,False,with,0.7310585786300049,24,house,nyumba,with,0.7310585786300049,0.3
14,118690.37709999247,3467.381499998737,False,without,0.5,66,fork,uma,without,0.5,0.3
15,123274.6574000048,7413.5464999999385,False,without,0.7310585786300049,101,monkey,tumbili,without,0.7310585786300049,0.349609375
16,131831.42589998897,1823.8032000081148,False,with,0.8807970779778823,2,woman,mwanamke,with,0.8807970779778823,0.349609375
17,137795.51560000982,892.2143999952823,True,with,0.7310585786300049,91,chicken,kuku,with,0.7310585786300049,0.250390625
18,140567.20019999193,1012.913300015498,True,without,0.8807970779778823,56,calendar,kalenda,without,0.8807970779778823,0.250390625
19,144448.07690000744,1578.3522999845445,True,with,0.7310585786300049,16,moon,mwezi,with,0.7310585786300049,0.3
20,149568.48650000757,1134.7371999872848,True,without,0.7310585786300049,38,window,dirisha,without,0.7310585786300049,0.3
21,159106.16789999767,1075.5138999957126,False,with,0.7310585786300049,16,moon,mwezi,with,0.7310585786300049,0.3
22,168983.2608999859,2625.103099999251,False,without,0.5,38,window,dirisha,without,0.5,0.3
23,182014.41820000764,3259.0248999767937,False,with,0.7310585786300049,30,ship,meli,with,0.7310585786300049,0.349609375
24,187503.9729999844,8020.76240000315,False,without,0.5,66,fork,uma,without,0.5,0.349609375
25,196637.04209998832,5249.869000021135,False,with,0.7310585786300049,24,house,nyumba,with,0.7310585786300049,0.349609375
