trial,start_time,rt,correct,version,activation,fact_id,question,answer,0,0,alpha
1,16737.0981000131,5710.421700001461,False,without,0.0,65,knife,kisu,without,0.0,0.3
2,39990.4278999893,6023.890000011306,True,with,0.5,4,bird,ndege,with,0.5,0.3
3,57025.564300012775,1519.2373999743722,True,without,0.5,65,knife,kisu,without,0.5,0.3
4,61007.460799999535,2554.334899992682,False,without,0.7310585786300049,73,ring,pete,without,0.7310585786300049,0.3
5,64712.7490999992,2600.4372000170406,True,with,0.7310585786300049,4,bird,ndege,with,0.7310585786300049,0.3
6,69545.04769999767,1276.0492000088561,True,without,0.5,73,ring,pete,without,0.5,0.3
7,73259.08970000455,5221.93959998549,False,with,0.2689414213699951,102,painting,uchoraji,with,0.2689414213699951,0.3
8,79561.55650000437,1804.6780999866314,True,with,0.2689414213699951,102,painting,uchoraji,with,0.2689414213699951,0.3
9,86390.38689999143,6369.788900017738,False,with,0.5,99,island,kisiwa,with,0.5,0.3
10,93839.28640000522,2104.5814999961294,False,without,0.5,54,lion,simba,without,0.5,0.3
11,97140.56719999644,3663.7356000137515,True,without,0.5,61,lightning,umeme,without,0.5,0.3
12,105441.62739999592,1234.6785000117961,True,without,0.5,54,lion,simba,without,0.5,0.3
13,109342.22109999973,5242.1268000034615,True,without,0.2689414213699951,61,lightning,umeme,without,0.2689414213699951,0.3
14,116801.74749999424,1043.575999996392,True,without,0.11920292202211755,65,knife,kisu,without,0.11920292202211755,0.250390625
15,120318.6374999932,1389.3003000121098,True,without,0.04742587317756678,73,ring,pete,without,0.04742587317756678,0.250390625
16,123912.92989999056,4082.893500017235,False,without,0.01798620996209156,24,house,nyumba,without,0.01798620996209156,0.3
17,129313.621600013,6707.025299983798,True,without,0.01798620996209156,3,fish,samaki,without,0.01798620996209156,0.3
18,140808.57620001188,1502.1212999999989,True,without,0.01798620996209156,24,house,nyumba,without,0.01798620996209156,0.3
19,145643.66649999283,1182.4141000106465,True,without,0.0066928509242848554,3,fish,samaki,without,0.0066928509242848554,0.3
20,150211.23650000663,1759.7602999885567,True,without,0.0024726231566347743,80,coconut,nazi,without,0.0024726231566347743,0.3
21,154903.70250001433,1155.6819999823347,True,without,0.0024726231566347743,54,lion,simba,without,0.0024726231566347743,0.250390625
22,158889.2698000127,2912.567299994407,True,without,0.0009110511944006454,80,coconut,nazi,without,0.0009110511944006454,0.3
23,164005.70720000542,2484.2362999916077,True,without,0.0003353501304664781,61,lightning,umeme,without,0.0003353501304664781,0.312890625
24,169106.6845000023,2118.615499988664,True,without,0.00012339457598623172,91,chicken,kuku,without,0.00012339457598623172,0.3
25,173632.4908999959,3493.146299995715,True,without,0.00012339457598623172,74,necklace,mkufu,without,0.00012339457598623172,0.3
26,181988.72309998842,4331.735500018112,True,without,0.00012339457598623172,91,chicken,kuku,without,0.00012339457598623172,0.3
27,189021.0417000053,4900.508399994578,False,without,4.5397868702434395e-05,74,necklace,mkufu,without,4.5397868702434395e-05,0.3
28,201861.73420000705,1783.5983999830205,True,without,0.00012339457598623172,24,house,nyumba,without,0.00012339457598623172,0.250390625
29,206518.26690000598,2134.7372999880463,True,without,4.5397868702434395e-05,3,fish,samaki,without,4.5397868702434395e-05,0.255859375
30,211362.9857999913,1726.656600018032,True,without,1.670142184809518e-05,80,coconut,nazi,without,1.670142184809518e-05,0.250390625
31,215069.9670999893,1730.5972000176553,True,without,6.144174602214718e-06,38,window,dirisha,without,6.144174602214718e-06,0.3
32,225978.96460001357,2109.475199977169,True,without,6.144174602214718e-06,34,money,fedha,without,6.144174602214718e-06,0.3
33,232749.77339999168,1061.6530000115745,True,without,6.144174602214718e-06,38,window,dirisha,without,6.144174602214718e-06,0.3
34,236443.13770000008,inf,True,without,2.2603242979035746e-06,34,money,fedha,without,2.2603242979035746e-06,0.3
35,242575.3920999996,1352.882800012594,True,without,8.315280276641321e-07,91,chicken,kuku,without,8.315280276641321e-07,0.250390625
36,246342.54479999072,3166.562700003851,False,without,3.059022269256247e-07,74,necklace,mkufu,without,3.059022269256247e-07,0.349609375
37,257862.23379999865,2213.1311999983154,True,without,8.315280276641321e-07,61,lightning,umeme,without,8.315280276641321e-07,0.29999999999999993
38,262227.43759999867,1514.7318000090308,True,without,3.059022269256247e-07,8,leaf,jani,without,3.059022269256247e-07,0.3
