trial,start_time,rt,correct,version,activation,fact_id,question,answer,0,0,alpha
1,8498.980199976359,1184.744199999841,True,with,0.0,100,motorcycle,pikipiki,with,0.0,0.3
2,12201.99319999665,1399.2577999888454,True,without,0.5,23,mountain,mlima,without,0.5,0.3
3,17321.63129997207,1509.1294000158086,True,without,0.5,23,mountain,mlima,without,0.5,0.3
4,21954.327899991767,1512.7402000071015,False,without,0.7310585786300049,86,drum,ngoma,without,0.7310585786300049,0.3
5,27356.95969997323,1103.36430001189,True,without,0.7310585786300049,86,drum,ngoma,without,0.7310585786300049,0.3
6,30472.309399978258,3160.181700019166,True,without,0.8807970779778823,69,shirt,shati,without,0.8807970779778823,0.3
7,36161.3054999907,486.94740000064485,True,with,0.8807970779778823,100,motorcycle,pikipiki,with,0.8807970779778823,0.3
8,38985.34369998379,1949.858600011794,False,without,0.2689414213699951,69,shirt,shati,without,0.2689414213699951,0.3
9,42812.78680000105,2471.039199997904,True,with,0.5,67,bread,mkate,with,0.5,0.3
10,47088.83779999451,1814.862400002312,True,without,0.5,25,picture,picha,without,0.5,0.3
11,50972.79139998136,2576.2166999920737,False,with,0.5,67,bread,mkate,with,0.5,0.3
12,55270.84559999639,2416.6039999981876,True,with,0.7310585786300049,84,bridge,daraja,with,0.7310585786300049,0.3
13,59809.712099988246,1273.5990000073798,False,without,0.7310585786300049,25,picture,picha,without,0.7310585786300049,0.3
14,62944.184099993436,2795.797400001902,True,with,0.5,84,bridge,daraja,with,0.5,0.3
15,67682.62389997835,3145.228400011547,False,without,0.7310585786300049,23,mountain,mlima,without,0.7310585786300049,0.349609375
16,72718.386499997,4666.016999981366,True,with,0.8807970779778823,76,spade,sepetu,with,0.8807970779778823,0.3
17,79746.45949999103,1321.964900009334,True,with,0.8807970779778823,30,ship,meli,with,0.8807970779778823,0.3
18,82914.55049999058,2693.0264999973588,False,with,0.8807970779778823,76,spade,sepetu,with,0.8807970779778823,0.3
19,87292.96779999277,2657.6500999799464,False,without,0.7310585786300049,86,drum,ngoma,without,0.7310585786300049,0.349609375
20,91148.76809998532,1770.7019000081345,False,with,0.8807970779778823,30,ship,meli,with,0.8807970779778823,0.3
21,94409.79009997682,3664.754500001436,False,without,0.7310585786300049,69,shirt,shati,without,0.7310585786300049,0.349609375
22,99260.68089998444,876.450300012948,True,with,0.8807970779778823,100,motorcycle,pikipiki,with,0.8807970779778823,0.250390625
23,103015.26799998828,1865.3536000056192,False,with,0.9525741268224334,67,bread,mkate,with,0.9525741268224334,0.349609375
24,105956.51769998949,2463.42509999522,True,with,0.8807970779778823,83,anchor,nanga,with,0.8807970779778823,0.3
25,112792.06989999511,1421.3939000037499,True,with,0.8807970779778823,84,bridge,daraja,with,0.8807970779778823,0.250390625
26,115897.84399999189,1569.9540000059642,False,with,0.9525741268224334,83,anchor,nanga,with,0.9525741268224334,0.3
27,118538.34439997445,5306.736500002444,True,with,0.8807970779778823,55,zebra,punda milia,with,0.8807970779778823,0.3
28,127694.9300999986,1684.812099992996,True,with,0.8807970779778823,92,chair,kiti,with,0.8807970779778823,0.3
29,131409.27469998132,2021.1458000121638,False,with,0.8807970779778823,55,zebra,punda milia,with,0.8807970779778823,0.3
30,134503.93739997526,5039.82880001422,False,without,0.7310585786300049,23,mountain,mlima,without,0.7310585786300049,0.39921874999999996
31,141632.60279997485,1713.3564000250772,True,with,0.8807970779778823,92,chair,kiti,with,0.8807970779778823,0.3
32,144966.1831999838,5556.254299997818,False,with,0.9525741268224334,76,spade,sepetu,with,0.9525741268224334,0.349609375
33,152771.2853999983,2529.590099991765,False,with,0.8807970779778823,30,ship,meli,with,0.8807970779778823,0.349609375
34,156901.59569997923,4497.302000003401,False,with,0.7310585786300049,67,bread,mkate,with,0.7310585786300049,0.39921874999999996
35,162470.74129999964,5517.071799986297,True,with,0.5,82,hammer,nyundo,with,0.5,0.3
36,170897.80119998613,5627.89810000686,False,with,0.5,83,anchor,nanga,with,0.5,0.349609375
37,177600.20049999002,1206.9717999838758,True,without,0.2689414213699951,25,picture,picha,without,0.2689414213699951,0.250390625
38,181675.9824999899,5804.687199997716,False,without,0.11920292202211755,86,drum,ngoma,without,0.11920292202211755,0.39921874999999996
39,189004.303099995,4463.381799985655,False,without,0.2689414213699951,69,shirt,shati,without,0.2689414213699951,0.39921874999999996
40,194690.8287999977,2867.6531999954022,True,without,0.5,23,mountain,mlima,without,0.5,0.423828125
41,202128.12029998167,3791.025000013178,False,without,0.2689414213699951,86,drum,ngoma,without,0.2689414213699951,0.4042968749999999
42,208032.76859998005,1248.4669999976177,False,without,0.5,69,shirt,shati,without,0.5,0.417578125
43,213171.03779999889,2694.093400001293,False,with,0.7310585786300049,82,hammer,nyundo,with,0.7310585786300049,0.3
44,216938.73189997976,1680.8356000110507,True,without,0.5,18,sand,mchanga,without,0.5,0.3
45,222404.1563999781,6288.460900017526,False,without,0.5,23,mountain,mlima,without,0.5,0.42421875
46,232589.47699997225,1452.2744000132661,False,with,0.7310585786300049,67,bread,mkate,with,0.7310585786300049,0.4488281249999999
47,235115.56700000074,5976.14689997863,False,with,0.5,76,spade,sepetu,with,0.5,0.39921874999999996
48,242167.12109997752,2085.991300002206,False,with,0.2689414213699951,55,zebra,punda milia,with,0.2689414213699951,0.349609375
49,245329.30859999033,2487.861800007522,False,without,0.11920292202211755,18,sand,mchanga,without,0.11920292202211755,0.3
50,249002.83629997284,2227.4800000013784,False,without,0.2689414213699951,69,shirt,shati,without,0.2689414213699951,0.41796875
51,253479.12769997492,4433.784699998796,False,without,0.5,86,drum,ngoma,without,0.5,0.40546874999999993
52,261097.3030999885,2116.3821000081953,False,with,0.7310585786300049,30,ship,meli,with,0.7310585786300049,0.39921874999999996
53,264893.8065999828,2333.99760001339,True,without,0.5,89,carrot,karoti,without,0.5,0.3
54,269878.30279997434,1819.4119000108913,True,without,0.5,62,sheep,kondoo,without,0.5,0.3
55,274126.91549997544,5358.795400010422,False,with,0.5,92,chair,kiti,with,0.5,0.343359375
56,280559.471799992,2184.269999997923,False,with,0.2689414213699951,67,bread,mkate,with,0.2689414213699951,0.4531249999999999
57,283816.33549998514,1047.4618999869563,False,without,0.11920292202211755,89,carrot,karoti,without,0.11920292202211755,0.3
58,287914.1286999802,2660.339699999895,False,without,0.2689414213699951,62,sheep,kondoo,without,0.2689414213699951,0.3
59,294241.1664999963,2465.1561999926344,True,without,0.5,23,mountain,mlima,without,0.5,0.423828125
60,300135.4749999882,2714.9702000024263,False,without,0.2689414213699951,18,sand,mchanga,without,0.2689414213699951,0.349609375
61,305025.34389999346,1741.1035999830347,True,without,0.5,101,monkey,tumbili,without,0.5,0.3
62,309585.8124999795,2214.7411000041757,True,without,0.5,69,shirt,shati,without,0.5,0.41679687499999996
63,314496.56299999333,1589.6535000065342,False,with,0.2689414213699951,83,anchor,nanga,with,0.2689414213699951,0.38749999999999996
64,317157.5657999783,1365.129900019383,False,without,0.11920292202211755,101,monkey,tumbili,without,0.11920292202211755,0.3
65,321041.5069999872,3023.4091999882367,True,without,0.2689414213699951,45,soldier,askari,without,0.2689414213699951,0.3
66,328471.43849998247,5516.39500001329,False,with,0.2689414213699951,76,spade,sepetu,with,0.2689414213699951,0.412109375
67,335062.9588999727,5060.076500027208,False,with,0.11920292202211755,30,ship,meli,with,0.11920292202211755,0.40898437499999996
68,341196.3506999891,2402.8392999898642,False,without,0.04742587317756678,45,soldier,askari,without,0.04742587317756678,0.3
69,344824.8029999959,2998.5263999842573,False,without,0.11920292202211755,86,drum,ngoma,without,0.11920292202211755,0.4058593749999999
70,349005.379499984,963.34200000274,True,without,0.2689414213699951,89,carrot,karoti,without,0.2689414213699951,0.250390625
71,352990.45389998355,2093.990599998506,False,without,0.11920292202211755,62,sheep,kondoo,without,0.11920292202211755,0.349609375
72,357453.0066999723,inf,False,without,0.2689414213699951,18,sand,mchanga,without,0.2689414213699951,0.39921874999999996
73,364301.09029999585,2454.6786999853794,False,with,0.5,55,zebra,punda milia,with,0.5,0.37421875000000004
74,369849.32389997994,1523.5213999985717,True,without,0.2689414213699951,23,mountain,mlima,without,0.2689414213699951,0.4140625
75,382459.89729999565,1529.3783999804873,False,without,0.11920292202211755,101,monkey,tumbili,without,0.11920292202211755,0.349609375
76,392097.14019999956,1501.6272999928333,False,without,0.2689414213699951,18,sand,mchanga,without,0.2689414213699951,0.42460937499999996
77,396724.22939998796,4811.575500003528,True,without,0.5,69,shirt,shati,without,0.5,0.4664062499999999
78,404821.98319997406,2070.08620002307,True,without,0.2689414213699951,45,soldier,askari,without,0.2689414213699951,0.250390625
79,411175.14749997645,1816.4257000025827,True,without,0.11920292202211755,62,sheep,kondoo,without,0.11920292202211755,0.34921875
80,415552.715799975,1309.791600011522,True,without,0.04742587317756678,69,shirt,shati,without,0.04742587317756678,0.46601562499999993
81,419172.3132999905,2128.887600003509,False,without,0.01798620996209156,96,hurricane,kimbunga,without,0.01798620996209156,0.3
82,424213.61179999076,inf,False,without,0.01798620996209156,101,monkey,tumbili,without,0.01798620996209156,0.39921874999999996
83,436611.46179999923,2389.881199982483,False,without,0.04742587317756678,96,hurricane,kimbunga,without,0.04742587317756678,0.3
84,443633.5084999737,1820.8909000095446,False,without,0.11920292202211755,18,sand,mchanga,without,0.11920292202211755,0.44921875
85,448751.3877999736,3614.645100024063,False,without,0.2689414213699951,86,drum,ngoma,without,0.2689414213699951,0.45546874999999987
86,453558.3479999914,1713.809200009564,True,without,0.5,101,monkey,tumbili,without,0.5,0.398828125
87,459542.1598999819,1168.2976000010967,True,without,0.2689414213699951,66,fork,uma,without,0.2689414213699951,0.3
88,462379.6971999982,1383.3202999958303,True,without,0.2689414213699951,37,train,treni,without,0.2689414213699951,0.3
89,469569.9797999987,866.7100000020582,False,without,0.2689414213699951,66,fork,uma,without,0.2689414213699951,0.3
