trial,start_time,rt,correct,version,activation,fact_id,question,answer,0,0,alpha
20,201735.25850000442,887.7643999876454,True,with,0.8807970779778823,30,ship,meli,with,0.8807970779778823,0.250390625
21,204263.4923000005,10313.489099993603,False,without,0.9525741268224334,78,scissors,mkasi,without,0.9525741268224334,0.39374999999999993
22,216916.30370001076,3663.687899999786,True,with,0.9820137900379085,4,bird,ndege,with,0.9820137900379085,0.3
23,223854.3389000115,2290.1725999836344,True,with,0.9933071490757153,70,skirt,sketi,with,0.9933071490757153,0.34921875
24,228355.89599999366,2018.0872000055388,True,with,0.9975273768433653,77,rake,reki,with,0.9975273768433653,0.3
25,232172.52759999246,3088.8896000105888,True,with,0.9975273768433653,86,drum,ngoma,with,0.9975273768433653,0.3
26,240050.6141000078,3038.5364999820013,False,with,0.9975273768433653,77,rake,reki,with,0.9975273768433653,0.3
27,245362.3641000013,1091.6036000126041,True,with,0.9933071490757153,86,drum,ngoma,with,0.9933071490757153,0.3
28,248268.99710000725,6879.293699981645,True,with,0.9975273768433653,96,hurricane,kimbunga,with,0.9975273768433653,0.3
29,259357.5877000112,1334.7541999828536,True,with,0.9975273768433653,17,sea,bahari,with,0.9975273768433653,0.34375
30,262863.963300013,1229.0162999997847,True,with,0.9990889488055994,96,hurricane,kimbunga,with,0.9990889488055994,0.3
31,266769.8762000073,3111.0993000038434,True,with,0.9996646498695336,65,knife,kisu,with,0.9996646498695336,0.3
32,275038.06290001376,1070.534200000111,True,with,0.9996646498695336,4,bird,ndege,with,0.9996646498695336,0.250390625
33,278497.0575000043,1521.2650999892503,False,with,0.9998766054240137,65,knife,kisu,with,0.9998766054240137,0.3
34,288285.6018000166,1616.8065999809187,True,with,0.9996646498695336,87,trumpet,tarumbeta,with,0.9996646498695336,0.3
35,294973.4215000062,1949.6106999868061,True,with,0.9996646498695336,77,rake,reki,with,0.9996646498695336,0.250390625
36,298864.15120001766,689.2707999795675,True,with,0.9998766054240137,87,trumpet,tarumbeta,with,0.9998766054240137,0.3
37,302546.31890001474,4133.545399992727,False,with,0.9999546021312976,86,drum,ngoma,with,0.9999546021312976,0.349609375
38,307750.8950000047,1965.986299997894,True,with,0.9998766054240137,43,cat,paka,with,0.9998766054240137,0.3
39,312253.7098999892,2681.8837000173517,True,with,0.9998766054240137,79,banana,ndizi,with,0.9998766054240137,0.3
40,319066.83660001727,9080.433600000106,False,with,0.9998766054240137,43,cat,paka,with,0.9998766054240137,0.3
41,329218.62649999093,16316.230500000529,False,with,0.9996646498695336,79,banana,ndizi,with,0.9996646498695336,0.3
42,347290.88919999776,13196.714299992891,False,with,0.9990889488055994,96,hurricane,kimbunga,with,0.9990889488055994,0.349609375
43,361558.7463999982,7726.986299996497,False,with,0.9975273768433653,65,knife,kisu,with,0.9975273768433653,0.349609375
44,371084.20469998964,1180.4138000006787,False,with,0.9933071490757153,70,skirt,sketi,with,0.9933071490757153,0.398828125
45,373933.9722000004,22813.58079999336,False,with,0.9820137900379085,86,drum,ngoma,with,0.9820137900379085,0.39921874999999996
46,402162.848500011,21848.750299977837,False,with,0.9525741268224334,87,trumpet,tarumbeta,with,0.9525741268224334,0.349609375
47,425082.91359999566,10116.54930000077,False,without,0.8807970779778823,20,snow,theluji,without,0.8807970779778823,0.34140625
48,436431.7549999978,22913.414700014982,False,with,0.9525741268224334,43,cat,paka,with,0.9525741268224334,0.349609375
49,460416.5792000131,10523.075499979313,False,with,0.8807970779778823,86,drum,ngoma,with,0.8807970779778823,0.430078125
50,472686.5464000148,4566.062699974282,False,with,0.7310585786300049,96,hurricane,kimbunga,with,0.7310585786300049,0.38125
51,478323.0894000153,27152.243399992585,False,with,0.5,79,banana,ndizi,with,0.5,0.337890625
52,506549.8964000144,inf,False,without,0.2689414213699951,78,scissors,mkasi,without,0.2689414213699951,0.3707031249999999
53,532797.1878999961,3186.5217000013217,False,with,0.5,65,knife,kisu,with,0.5,0.37890625
54,537915.663199994,20127.78690000414,False,without,0.2689414213699951,24,house,nyumba,without,0.2689414213699951,0.27851562500000004
55,559306.9313000015,inf,True,with,0.5,70,skirt,sketi,with,0.5,0.40546874999999993
56,564478.801099991,2357.697300001746,False,with,0.7310585786300049,87,trumpet,tarumbeta,with,0.7310585786300049,0.36171875
57,567909.9125000066,7127.41799998912,False,without,0.5,20,snow,theluji,without,0.5,0.341796875
58,576268.0306000111,6516.396299994085,False,without,0.7310585786300049,78,scissors,mkasi,without,0.7310585786300049,0.42031249999999987
59,583938.1088000082,6421.494799986249,False,with,0.8807970779778823,86,drum,ngoma,with,0.8807970779778823,0.43046874999999996
60,591430.1246000105,1102.9627999814693,False,with,0.7310585786300049,43,cat,paka,with,0.7310585786300049,0.36796875000000007
61,595787.1110000124,1823.9280999987386,False,with,0.5,96,hurricane,kimbunga,with,0.5,0.3863281249999999
62,600742.6929000067,22155.977599992184,False,without,0.2689414213699951,78,scissors,mkasi,without,0.2689414213699951,0.4238281249999999
63,624035.884300014,inf,False,with,0.5,79,banana,ndizi,with,0.5,0.36250000000000004

